prioridad,model,tiene_tos,tiene_hist,cual_historical,tiene_ssp245,tiene_ssp370,tiene_ssp585,experimentos_encontrados
2,NICAM16-9S,1,0,,0,0,0,highresSST-future|highresSST-present
2,NorESM1-F,1,0,,0,0,0,lig127k|midHolocene|midPliocene-eoi400|piControl
2,TaiESM1-TIMCOM,1,0,,0,0,0,omip1|omip2
2,TaiESM1-TIMCOM2,1,0,,0,0,0,omip1|omip2
2,UKESM1-ice-LL,1,0,,0,0,0,1pctCO2to4x-withism|historical-withism|piControl-withism|ssp585-withism
3,AWI-CM-1-1-HR,1,1,hist-1950,0,0,0,control-1950|hist-1950|spinup-1950
3,AWI-CM-1-1-LR,1,1,hist-1950,0,0,0,control-1950|hist-1950|spinup-1950
3,AWI-ESM-1-1-LR,1,1,historical,0,0,0,1pctCO2|historical|lgm|lig127k|piControl
3,BCC-CSM2-HR,1,1,hist-1950,0,0,0,control-1950|hist-1950
3,BCC-ESM1,1,1,historical,0,1,0,1pctCO2|abrupt-4xCO2|hist-piAer|hist-piNTCF|historical|piControl|ssp370|ssp370-lowNTCF
3,CESM1-CAM5-SE-HR,1,1,hist-1950,0,0,0,control-1950|highres-future|hist-1950
3,CESM1-CAM5-SE-LR,1,1,hist-1950,0,0,0,control-1950|highres-future|hist-1950
3,CESM2-FV2,1,1,historical,0,1,1,1pctCO2|abrupt-4xCO2|historical|lgm|piControl|ssp370|ssp585
3,CESM2-WACCM-FV2,1,1,historical,0,0,0,1pctCO2|abrupt-4xCO2|historical|lgm|piControl
3,CMCC-CM2-HR4,1,1,historical,0,0,0,1pctCO2|abrupt-4xCO2|historical|omip2
3,E3SM-1-0,1,1,historical,0,1,1,1pctCO2|abrupt-4xCO2|hist-GHG|historical|piControl|ssp370|ssp585
3,E3SM-1-1,1,1,historical,0,0,1,hist-bgc|historical|piControl|ssp585|ssp585-bgc
3,E3SM-1-1-ECA,1,1,historical,0,0,1,hist-bgc|historical|piControl|ssp585|ssp585-bgc
3,E3SM-2-0,1,1,historical,0,1,0,1pctCO2|abrupt-4xCO2|hist-GHG|hist-aer|hist-nat|historical|piControl|ssp370
3,E3SM-2-0-NARRM,1,1,historical,0,0,0,1pctCO2|abrupt-4xCO2|historical|piControl
3,E3SM-2-1,1,1,historical,0,0,0,1pctCO2|abrupt-4xCO2|historical|piControl
3,EC-Earth3-AerChem,1,1,historical,0,1,0,1pctCO2|abrupt-4xCO2|hist-piAer|hist-piNTCF|historical|piControl|ssp370|ssp370-lowNTCF|ssp370-lowNTCFCH4
3,EC-Earth3P,1,1,hist-1950,0,0,0,control-1950|highres-future|highresSST-future|highresSST-present|hist-1950|spinup-1950
3,EC-Earth3P-HR,1,1,hist-1950,0,0,0,control-1950|highres-future|highresSST-future|highresSST-present|hist-1950
